age,age_cat,sex,race,priors_count,c_charge_degree,juv_fel_count,juv_misd_count,juv_other_count,target,age_group
69,Greater than 45,Male,Other,0,F,0,0,0,0,3
34,25 - 45,Male,African-American,0,F,0,0,0,1,2
24,Less than 25,Male,African-American,4,F,0,0,1,1,0
23,Less than 25,Male,African-American,1,F,0,1,0,0,0
43,25 - 45,Male,Other,2,F,0,0,0,0,3
44,25 - 45,Male,Other,0,M,0,0,0,0,3
41,25 - 45,Male,Caucasian,14,F,0,0,0,1,2
43,25 - 45,Male,Other,3,F,0,0,0,0,3
39,25 - 45,Female,Caucasian,0,M,0,0,0,0,2
21,Less than 25,Male,Caucasian,1,F,0,0,0,1,0
27,25 - 45,Male,Caucasian,0,F,0,0,0,0,1
23,Less than 25,Male,African-American,3,M,0,0,0,1,0
37,25 - 45,Female,Caucasian,0,M,0,0,0,0,2
41,25 - 45,Male,African-American,0,F,0,0,0,0,2
47,Greater than 45,Female,Caucasian,1,F,0,0,0,1,3
31,25 - 45,Male,African-American,7,F,0,0,0,1,1
37,25 - 45,Male,Hispanic,0,M,0,0,0,0,2
25,25 - 45,Male,African-American,3,F,0,0,0,0,0
31,25 - 45,Male,Caucasian,6,F,0,0,0,1,1
31,25 - 45,Male,Caucasian,5,F,0,0,0,1,1
64,Greater than 45,Male,African-American,13,F,0,0,0,1,3
21,Less than 25,Male,African-American,1,F,0,0,0,1,0
27,25 - 45,Male,Caucasian,0,M,0,0,0,1,1
21,Less than 25,Female,Caucasian,0,F,0,0,0,0,0
24,Less than 25,Male,Hispanic,1,F,0,0,0,1,0
43,25 - 45,Male,Caucasian,1,M,0,0,0,0,3
32,25 - 45,Male,Other,0,M,0,0,0,0,2
27,25 - 45,Male,African-American,8,F,0,0,0,1,1
36,25 - 45,Female,Caucasian,3,F,0,0,0,0,2
26,25 - 45,Male,African-American,5,F,0,0,1,1,1
33,25 - 45,Male,African-American,0,F,0,0,0,1,2
30,25 - 45,Male,Caucasian,9,F,0,0,0,1,1
32,25 - 45,Male,African-American,4,F,0,0,0,1,2
55,Greater than 45,Male,Caucasian,0,F,0,0,0,0,3
49,Greater than 45,Male,Other,7,F,0,0,0,1,3
26,25 - 45,Male,Caucasian,6,M,0,0,2,0,1
33,25 - 45,Female,Caucasian,4,M,0,0,0,1,2
24,Less than 25,Male,Caucasian,1,M,0,0,0,1,0
34,25 - 45,Male,African-American,21,F,2,1,3,1,2
29,25 - 45,Male,Caucasian,0,M,0,0,0,0,1
21,Less than 25,Female,African-American,2,F,0,0,0,0,0
51,Greater than 45,Male,African-American,2,M,0,0,0,0,3
29,25 - 45,Male,Caucasian,2,M,0,0,0,1,1
51,Greater than 45,Female,African-American,7,F,0,0,0,0,3
29,25 - 45,Male,African-American,0,F,0,0,0,1,1
25,25 - 45,Male,Caucasian,9,M,0,0,0,1,0
35,25 - 45,Male,African-American,13,F,1,0,4,1,2
49,Greater than 45,Male,Caucasian,0,M,0,0,0,0,3
34,25 - 45,Male,African-American,4,M,0,0,0,1,2
29,25 - 45,Male,African-American,0,F,0,0,0,0,1
29,25 - 45,Male,Caucasian,1,F,0,0,0,1,1
28,25 - 45,Female,Other,0,F,0,0,0,0,1
48,Greater than 45,Male,Caucasian,20,F,0,0,0,1,3
63,Greater than 45,Female,Hispanic,1,F,0,0,0,0,3
31,25 - 45,Male,African-American,15,F,0,0,1,0,1
24,Less than 25,Male,African-American,2,F,0,0,0,1,0
30,25 - 45,Male,Hispanic,0,M,0,0,0,0,1
49,Greater than 45,Male,African-American,4,M,0,0,0,0,3
53,Greater than 45,Male,Caucasian,8,F,0,0,0,0,3
35,25 - 45,Male,African-American,5,F,0,0,0,0,2
63,Greater than 45,Male,African-American,10,M,0,0,0,1,3
27,25 - 45,Male,African-American,15,F,1,1,2,1,1
38,25 - 45,Male,Caucasian,4,M,0,0,0,1,2
22,Less than 25,Male,African-American,1,F,0,0,1,1,0
22,Less than 25,Male,African-American,2,F,0,1,2,1,0
29,25 - 45,Male,African-American,4,F,0,0,0,1,1
62,Greater than 45,Male,Hispanic,0,M,0,0,0,0,3
27,25 - 45,Male,African-American,6,F,0,1,0,1,1
33,25 - 45,Male,Other,0,M,0,0,0,0,2
56,Greater than 45,Female,African-American,0,M,0,0,0,0,3
45,Greater than 45,Male,Hispanic,6,F,0,0,0,1,3
22,Less than 25,Male,Hispanic,1,F,0,0,0,0,0
39,25 - 45,Male,African-American,1,M,0,0,0,0,2
29,25 - 45,Male,African-American,5,F,0,0,0,1,1
27,25 - 45,Male,Caucasian,1,F,0,0,1,1,1
40,25 - 45,Male,African-American,2,F,0,0,0,0,2
22,Less than 25,Male,African-American,1,M,0,0,0,1,0
22,Less than 25,Male,Caucasian,0,F,0,0,0,0,0
26,25 - 45,Female,African-American,1,F,0,0,0,1,1
27,25 - 45,Male,Caucasian,1,F,0,0,0,1,1
32,25 - 45,Male,African-American,0,F,0,0,0,0,2
41,25 - 45,Male,African-American,1,M,0,0,0,0,2
30,25 - 45,Male,African-American,8,M,0,0,0,1,1
50,Greater than 45,Male,Other,0,F,0,0,0,1,3
25,25 - 45,Male,African-American,14,F,1,6,1,1,0
20,Less than 25,Male,Other,0,F,0,0,0,1,0
22,Less than 25,Male,African-American,2,F,1,0,0,1,0
23,Less than 25,Male,African-American,2,M,0,0,1,1,0
35,25 - 45,Female,African-American,1,M,0,0,0,0,2
36,25 - 45,Male,African-American,9,F,0,0,0,1,2
26,25 - 45,Male,Caucasian,7,F,0,0,0,1,1
21,Less than 25,Male,Other,1,F,0,0,0,1,0
25,25 - 45,Male,Caucasian,9,F,0,0,0,1,0
71,Greater than 45,Male,African-American,12,M,0,0,0,0,3
20,Less than 25,Female,Caucasian,0,F,0,0,0,0,0
39,25 - 45,Male,Caucasian,2,F,0,0,0,1,2
66,Greater than 45,Male,Caucasian,3,F,0,0,0,0,3
54,Greater than 45,Female,Caucasian,0,M,0,0,0,0,3
44,25 - 45,Female,Hispanic,0,M,0,0,0,0,3
19,Less than 25,Male,African-American,1,M,0,0,0,1,0
24,Less than 25,Male,African-American,1,F,0,0,0,0,0
30,25 - 45,Male,African-American,1,F,0,0,0,0,1
39,25 - 45,Female,Caucasian,0,F,0,0,0,1,2
24,Less than 25,Male,Caucasian,8,F,0,1,2,1,0
30,25 - 45,Male,Caucasian,0,F,0,0,0,0,1
31,25 - 45,Male,Caucasian,0,M,0,0,0,0,1
39,25 - 45,Female,Caucasian,1,F,0,0,0,0,2
59,Greater than 45,Male,African-American,14,F,0,0,0,1,3
43,25 - 45,Male,Caucasian,1,F,0,0,0,0,3
21,Less than 25,Male,African-American,3,F,0,0,0,1,0
38,25 - 45,Male,Caucasian,5,M,0,0,0,1,2
34,25 - 45,Male,Caucasian,0,F,0,0,0,0,2
33,25 - 45,Male,African-American,5,F,0,0,0,1,2
37,25 - 45,Male,African-American,3,F,0,0,0,0,2
42,25 - 45,Male,Caucasian,1,F,0,0,0,1,2
41,25 - 45,Male,African-American,10,F,0,1,0,1,2
22,Less than 25,Male,African-American,0,F,0,0,0,1,0
33,25 - 45,Male,African-American,28,F,0,12,2,1,2
31,25 - 45,Male,African-American,1,M,0,0,0,0,1
30,25 - 45,Female,Other,1,F,0,0,0,0,1
31,25 - 45,Male,Caucasian,13,F,0,0,0,1,1
27,25 - 45,Male,African-American,3,F,0,0,0,1,1
56,Greater than 45,Male,African-American,8,F,0,0,0,0,3
52,Greater than 45,Male,Caucasian,3,M,0,0,0,0,3
33,25 - 45,Male,African-American,19,F,0,0,0,1,2
64,Greater than 45,Female,Caucasian,2,M,0,0,0,0,3
22,Less than 25,Male,Caucasian,4,F,0,0,0,1,0
42,25 - 45,Male,Caucasian,6,F,0,0,0,0,2
25,25 - 45,Female,Caucasian,2,F,0,0,0,0,0
30,25 - 45,Male,Caucasian,1,M,0,0,0,0,1
28,25 - 45,Male,Caucasian,2,F,0,0,0,0,1
37,25 - 45,Female,Other,2,M,0,0,0,0,2
28,25 - 45,Male,Caucasian,0,M,0,0,0,1,1
24,Less than 25,Female,African-American,0,M,0,0,0,0,0
29,25 - 45,Female,Caucasian,10,F,0,1,0,1,1
44,25 - 45,Male,Caucasian,2,M,0,0,0,1,3
30,25 - 45,Female,Hispanic,4,F,0,0,0,1,1
32,25 - 45,Male,African-American,3,F,0,0,0,1,2
31,25 - 45,Male,Caucasian,2,M,0,0,0,1,1
31,25 - 45,Male,African-American,1,M,0,0,0,0,1
59,Greater than 45,Male,Caucasian,1,F,0,0,0,1,3
45,Greater than 45,Female,Caucasian,4,F,0,0,0,0,3
20,Less than 25,Female,African-American,1,F,1,0,0,0,0
43,25 - 45,Female,Caucasian,0,M,0,0,0,0,3
38,25 - 45,Male,African-American,9,F,1,1,0,1,2
32,25 - 45,Male,African-American,11,F,0,0,0,1,2
33,25 - 45,Male,African-American,8,M,0,0,0,1,2
31,25 - 45,Female,African-American,0,F,0,0,0,1,1
33,25 - 45,Female,African-American,7,F,0,0,0,1,2
27,25 - 45,Male,African-American,2,F,0,0,0,1,1
20,Less than 25,Female,African-American,0,F,0,0,0,0,0
26,25 - 45,Female,Caucasian,0,M,0,0,0,0,1
61,Greater than 45,Female,African-American,1,F,0,0,0,1,3
52,Greater than 45,Male,Other,13,F,0,0,0,1,3
63,Greater than 45,Male,Hispanic,1,F,0,0,0,0,3
32,25 - 45,Female,African-American,4,F,0,0,0,1,2
29,25 - 45,Male,Hispanic,1,F,0,0,0,0,1
46,Greater than 45,Female,Other,1,F,0,0,0,0,3
26,25 - 45,Female,African-American,2,M,0,0,0,1,1
55,Greater than 45,Male,African-American,3,M,0,0,0,0,3
39,25 - 45,Male,Caucasian,1,M,1,0,0,0,2
30,25 - 45,Female,Caucasian,3,F,0,0,0,1,1
30,25 - 45,Male,African-American,1,F,0,0,0,0,1
48,Greater than 45,Male,Caucasian,2,M,0,0,0,0,3
22,Less than 25,Male,African-American,1,F,0,0,0,0,0
46,Greater than 45,Male,Caucasian,6,F,0,0,0,1,3
49,Greater than 45,Female,Caucasian,6,F,0,0,0,0,3
31,25 - 45,Male,Caucasian,0,F,0,0,0,0,1
25,25 - 45,Male,African-American,1,M,0,0,0,1,0
23,Less than 25,Male,Hispanic,0,F,0,0,0,0,0
32,25 - 45,Female,African-American,5,F,0,0,0,0,2
52,Greater than 45,Male,Hispanic,2,M,0,0,0,0,3
62,Greater than 45,Male,African-American,8,F,0,0,0,0,3
37,25 - 45,Female,Caucasian,6,F,0,0,0,0,2
55,Greater than 45,Male,Caucasian,1,F,0,0,0,0,3
31,25 - 45,Male,Hispanic,8,F,0,0,0,1,1
28,25 - 45,Male,African-American,6,M,0,0,0,1,1
54,Greater than 45,Male,Hispanic,2,F,0,0,0,0,3
58,Greater than 45,Male,Hispanic,0,F,0,0,0,0,3
78,Greater than 45,Male,Caucasian,1,M,0,0,0,1,3
56,Greater than 45,Male,Caucasian,0,F,0,0,0,0,3
24,Less than 25,Male,Other,0,F,0,0,0,0,0
38,25 - 45,Male,African-American,22,F,2,2,1,1,2
22,Less than 25,Male,African-American,1,F,0,0,0,1,0
47,Greater than 45,Male,African-American,23,M,0,0,0,1,3
23,Less than 25,Male,African-American,0,M,0,0,0,1,0
57,Greater than 45,Male,Hispanic,1,F,0,0,0,0,3
38,25 - 45,Female,Caucasian,2,F,0,0,0,1,2
66,Greater than 45,Male,African-American,3,F,0,0,0,0,3
45,Greater than 45,Male,Caucasian,8,M,0,0,0,1,3
52,Greater than 45,Female,Other,0,M,0,0,0,1,3
